code,entry_ts,exit_ts,entry_px,exit_px,return_pct,win,sleeve
MU.US,2025-09-15 10:30:00,2025-09-15 12:30:00,157.25999450683594,156.6199951171875,-0.4069689762202122,0,large
MU.US,2025-09-17 10:30:00,2025-09-19 10:30:00,158.46499633789062,160.99070739746094,1.5938605483477364,1,large
TSLA.US,2025-09-18 09:30:00,2025-09-18 14:30:00,428.94000244140625,422.4599914550781,-1.5107033499896727,0,large
TSLA.US,2025-09-19 10:30:00,2025-09-19 14:30:00,423.8244934082031,425.9573974609375,0.5032517199708098,1,large
IONQ.US,2025-09-22 12:30:00,2025-09-23 09:30:00,72.0999984741211,72.98999786376953,1.2343958508790998,1,sniper
MU.US,2025-10-03 12:30:00,2025-10-06 14:30:00,187.9235992431641,190.92779541015625,1.5986263455420868,1,large
MU.US,2025-10-07 10:30:00,2025-10-08 09:30:00,186.80999755859375,194.44000244140625,4.084366459251898,1,large
APLD.US,2025-10-07 10:30:00,2025-10-08 12:30:00,26.979999542236328,27.814800262451172,3.0941465321672412,1,sniper
MU.US,2025-10-27 10:30:00,2025-10-27 14:30:00,220.9600067138672,219.19000244140625,-0.8010518730446115,0,large
MU.US,2025-10-28 10:30:00,2025-10-28 12:30:00,218.1300048828125,221.19500732421875,1.4051264717354517,1,large
MU.US,2025-10-29 09:30:00,2025-10-29 12:30:00,229.82000732421875,229.5050048828125,-0.13706484699648191,0,large
APLD.US,2025-10-29 10:30:00,2025-10-30 09:30:00,35.67499923706055,34.880001068115234,-2.2284462114842585,0,sniper
MU.US,2025-10-30 09:30:00,2025-10-31 10:30:00,225.8000030517578,225.85499572753903,0.02435459479095403,1,large
MU.US,2025-12-01 10:30:00,2025-12-02 09:30:00,236.19000244140625,238.84500122070312,1.1240944798057262,1,large
TSLA.US,2025-12-02 10:30:00,2025-12-03 14:30:00,424.1997985839844,446.2999877929687,5.209853772386652,1,large
MU.US,2026-01-08 12:30:00,2026-01-09 12:30:00,327.75750732421875,340.20001220703125,3.7962532069492294,1,large
MU.US,2026-03-12 12:30:00,2026-03-13 14:30:00,406.0950012207031,423.30999755859375,4.239154948015389,1,large
MU.US,2026-04-07 10:30:00,2026-04-08 14:30:00,369.9949951171875,404.2000122070313,9.244724264178261,1,large
APLD.US,2026-04-09 10:30:00,2026-04-10 14:30:00,26.420000076293945,26.63999938964844,0.8326998967418398,1,sniper
MU.US,2026-04-13 12:30:00,2026-04-15 12:30:00,416.831298828125,445.1400146484375,6.791408394690923,1,large
MU.US,2026-04-17 12:30:00,2026-04-17 14:30:00,457.03460693359375,455.3999938964844,-0.35765629392412457,0,large
TSLA.US,2026-04-20 10:30:00,2026-04-22 10:30:00,393.25,389.614990234375,-0.9243508622059804,0,large
TSLA.US,2026-05-06 10:30:00,2026-05-06 14:30:00,392.9110107421875,400.760009765625,1.9976531094435757,1,large
MU.US,2026-05-07 14:30:00,2026-05-08 14:30:00,639.2999877929688,732.9899291992188,14.655082620866654,1,large
TSLA.US,2026-05-12 12:30:00,2026-05-13 14:30:00,426.8100891113281,444.5501098632813,4.1564201982408955,1,large
MU.US,2026-05-12 12:30:00,2026-05-13 12:30:00,730.47998046875,801.5549926757812,9.72990555626485,1,large
IONQ.US,2026-06-01 12:30:00,2026-06-03 09:30:00,70.63999938964844,71.44999694824219,1.146655670430885,1,sniper
