code,entry_ts,pnl,return_pct,win,qqq_trend,mag7_ge4,mag7_ge5,strong,qqq_and_mag7,full,drop_APLD.US,drop_IONQ.US,drop_MU.US,above_sma20,vol_expand,local_macd_green,ret5_pos,tech,tech_vol,regime_tech,strong_tech
MU.US,2025-05-05,2714.4534,0.39,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-05-05,-4893.4633,-0.69,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-08-13,-3303.5986,-0.22,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
MU.US,2025-08-15,-3596.9767,-0.24,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-09-15,-7087.5756,-0.47,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
MU.US,2025-09-17,22026.164,1.48,1.0,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False
MU.US,2025-10-03,23137.325,1.52,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-10-07,28620.5451,3.97,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
MU.US,2025-10-27,-13869.5852,-0.87,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
MU.US,2025-10-28,20952.147,1.32,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-10-29,-2430.3311,-0.3,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-10-30,-869.8884,-0.11,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-12-01,8896.2965,0.96,1.0,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False
MU.US,2026-01-08,52324.7764,3.7,1.0,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False
MU.US,2026-03-11,6686.4147,0.51,1.0,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False
MU.US,2026-03-12,57851.9442,4.11,1.0,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False
MU.US,2026-04-13,102788.2731,6.69,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2026-04-17,-7917.7316,-0.48,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2026-05-07,151316.2618,14.5,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
MU.US,2026-05-12,65854.2819,9.61,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
MU.US,2026-06-03,-3023.1796,-0.18,0.0,True,False,False,False,False,False,True,True,False,True,False,True,True,True,False,True,False
MU.US,2026-06-04,-3843.4801,-0.21,0.0,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False
