ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
QQQ260702C00625000,QQQ,625.0,2026-07-02,call,104.25,6,62417.0,729.05,1,1.2473,0.9916,0.000478,-0.6063,0.0087,0.017,2026-07-01T16:18:25.705714Z,2026-07-01T16:18:36.874606Z
QQQ260702P00625000,QQQ,625.0,2026-07-02,put,0.03,212,418.0,725.27,1,1.0255,-0.0025,0.000203,-0.1535,0.003,-0.0001,2026-07-01T20:02:16.087620Z,2026-07-01T20:02:35.178225Z
QQQ260702C00630000,QQQ,630.0,2026-07-02,call,98.45,9,88495.0,728.33,1,1.0644,0.9958,0.000307,-0.3181,0.0047,0.0172,2026-07-01T19:11:20.276522Z,2026-07-01T19:11:26.909520Z
QQQ260702P00630000,QQQ,630.0,2026-07-02,put,0.04,825,2170.0,725.27,1,1.0041,-0.0034,0.000268,-0.1942,0.0039,-0.0001,2026-07-01T20:01:57.042350Z,2026-07-01T20:02:05.058682Z
QQQ260702C00635000,QQQ,635.0,2026-07-02,call,89.5,4,36748.0,725.27,1,1.5671,0.9537,0.001627,-2.9506,0.0369,0.0164,2026-07-01T20:01:14.877572Z,2026-07-01T20:01:34.989394Z
QQQ260702P00635000,QQQ,635.0,2026-07-02,put,0.02,239,644.0,725.94,1,0.8958,-0.002,0.000185,-0.1072,0.0024,-0.0,2026-07-01T19:57:07.461036Z,2026-07-01T19:57:27.385180Z
QQQ260702C00640000,QQQ,640.0,2026-07-02,call,85.09,6,53158.0,725.27,1,1.0996,0.9888,0.000698,-0.6798,0.0112,0.0173,2026-07-01T20:00:46.447930Z,2026-07-01T20:01:04.512248Z
QQQ260702P00640000,QQQ,640.0,2026-07-02,put,0.02,275,760.0,725.27,1,0.8423,-0.0021,0.000208,-0.1061,0.0025,-0.0,2026-07-01T20:02:21.256889Z,2026-07-01T20:02:35.178225Z
QQQ260702C00645000,QQQ,645.0,2026-07-02,call,81.66,6,49659.0,726.91,1,1.2417,0.9704,0.001421,-1.6536,0.0256,0.0171,2026-07-01T19:51:56.498923Z,2026-07-01T19:52:19.309082Z
QQQ260702P00645000,QQQ,645.0,2026-07-02,put,0.03,245,1071.0,725.27,1,0.8266,-0.0031,0.000302,-0.1483,0.0036,-0.0001,2026-07-01T20:08:37.287396Z,2026-07-01T20:09:07.736098Z
QQQ260702C00650000,QQQ,650.0,2026-07-02,call,76.38,32,252394.0,726.01,1,1.0464,0.9797,0.001231,-1.0398,0.0186,0.0174,2026-07-01T19:55:46.783511Z,2026-07-01T19:55:53.942801Z
QQQ260702P00650000,QQQ,650.0,2026-07-02,put,0.03,322,937.0,725.27,1,0.7772,-0.0033,0.000338,-0.1468,0.0038,-0.0001,2026-07-01T20:13:04.095154Z,2026-07-01T20:13:09.989974Z
QQQ260702C00655000,QQQ,655.0,2026-07-02,call,74.81,3,22305.0,729.19,1,1.1267,0.9679,0.001674,-1.6136,0.0275,0.0173,2026-07-01T14:37:59.584298Z,2026-07-01T14:38:29.895925Z
QQQ260702P00655000,QQQ,655.0,2026-07-02,put,0.03,1170,4837.0,725.27,1,0.728,-0.0035,0.000381,-0.1452,0.004,-0.0001,2026-07-01T20:10:44.118848Z,2026-07-01T20:11:08.839810Z
QQQ260702C00660000,QQQ,660.0,2026-07-02,call,65.95,36,247852.0,725.94,1,0.8502,0.9869,0.001042,-0.615,0.0129,0.0178,2026-07-01T19:57:21.458098Z,2026-07-01T19:57:27.385180Z
QQQ260702P00660000,QQQ,660.0,2026-07-02,put,0.03,454,2061.0,725.27,1,0.6789,-0.0037,0.000433,-0.1435,0.0042,-0.0001,2026-07-01T20:06:38.652621Z,2026-07-01T20:07:06.878903Z
QQQ260702C00665000,QQQ,665.0,2026-07-02,call,61.56,12,75009.0,726.12,1,0.8911,0.972,0.001898,-1.1562,0.0244,0.0176,2026-07-01T19:52:20.164055Z,2026-07-01T19:52:50.834332Z
QQQ260702P00665000,QQQ,665.0,2026-07-02,put,0.04,1509,7578.0,725.27,1,0.6498,-0.0051,0.000594,-0.1802,0.0056,-0.0001,2026-07-01T20:08:09.086324Z,2026-07-01T20:08:37.277904Z
QQQ260702C00670000,QQQ,670.0,2026-07-02,call,54.67,32,187624.0,725.27,1,0.9256,0.954,0.002742,-1.7637,0.0367,0.0174,2026-07-01T20:03:18.115704Z,2026-07-01T20:03:35.825943Z
QQQ260702P00670000,QQQ,670.0,2026-07-02,put,0.03,1201,6026.0,725.27,1,0.5809,-0.0043,0.000576,-0.1397,0.0048,-0.0001,2026-07-01T20:12:57.555769Z,2026-07-01T20:13:09.989974Z
QQQ260702C00671000,QQQ,671.0,2026-07-02,call,66.21,12,79452.0,737.0,2,0.5239,0.9927,0.000704,-0.2138,0.011,0.0365,2026-06-30T19:40:47.150026Z,2026-06-30T19:41:00.588813Z
QQQ260702P00671000,QQQ,671.0,2026-07-02,put,0.04,227,1172.0,725.27,1,0.5895,-0.0055,0.000709,-0.177,0.006,-0.0001,2026-07-01T20:13:23.103415Z,2026-07-01T20:13:40.835868Z
QQQ260702C00672000,QQQ,672.0,2026-07-02,call,59.19,6,35514.0,730.69,1,0.8769,0.9678,0.002151,-1.2777,0.0276,0.0178,2026-07-01T14:26:51.475099Z,2026-07-01T14:27:09.887211Z
QQQ260702P00672000,QQQ,672.0,2026-07-02,put,0.04,734,4132.0,725.27,1,0.5794,-0.0056,0.000731,-0.1765,0.0061,-0.0001,2026-07-01T20:06:55.121696Z,2026-07-01T20:07:06.878903Z
QQQ260702C00673000,QQQ,673.0,2026-07-02,call,35.93,1,3593.0,706.15,3,0.5196,0.8533,0.006903,-1.333,0.147,0.0466,2026-06-29T14:16:23.370768Z,2026-06-29T14:16:41.304856Z
QQQ260702P00673000,QQQ,673.0,2026-07-02,put,0.05,559,3816.0,725.27,1,0.5842,-0.0069,0.000862,-0.2116,0.0073,-0.0001,2026-07-01T20:06:55.249482Z,2026-07-01T20:07:06.878903Z
QQQ260702C00674000,QQQ,674.0,2026-07-02,call,42.98,1,4298.0,713.93,7,0.3841,0.8691,0.005593,-0.6373,0.21,0.1108,2026-06-25T15:09:52.011835Z,2026-06-25T15:10:13.033971Z
QQQ260702P00674000,QQQ,674.0,2026-07-02,put,0.04,445,3815.0,725.27,1,0.5593,-0.0058,0.00078,-0.1753,0.0063,-0.0001,2026-07-01T20:02:48.888030Z,2026-07-01T20:03:05.644622Z
QQQ260702C00675000,QQQ,675.0,2026-07-02,call,52.68,2,10778.0,727.13,1,0.8122,0.9619,0.002677,-1.3473,0.0315,0.0177,2026-07-01T17:06:59.086955Z,2026-07-01T17:07:12.482782Z
QQQ260702P00675000,QQQ,675.0,2026-07-02,put,0.05,1271,7275.0,725.27,1,0.5637,-0.0071,0.00092,-0.2101,0.0075,-0.0001,2026-07-01T20:06:55.235717Z,2026-07-01T20:07:06.878903Z
