id,ts,underlying,ticker,strike,expiry,contract_type,last_price,volume,premium,underlying_price,dte,iv,delta,gamma,theta,vega,rho
223906872,2026-07-10T13:43:43.789609Z,TSLA,TSLA260814C00415000,415.0,2026-08-14,call,21.5,15,32250.0,408.54,35,0.4686,0.4977,0.00673,-0.3603,0.5047,0.1743
223906102,2026-07-10T13:43:26.484450Z,TSLA,TSLA260918C00420000,420.0,2026-09-18,call,29.3,21,61530.0,408.54,70,0.4598,0.5025,0.004849,-0.2561,0.7137,0.3375
223905931,2026-07-10T13:43:25.513366Z,TSLA,TSLA270115P00420000,420.0,2027-01-15,put,57.86,10,57860.0,408.54,189,0.4871,-0.4353,0.002749,-0.1201,1.1574,-1.2205
223905930,2026-07-10T13:43:25.512426Z,TSLA,TSLA270115P00410000,410.0,2027-01-15,put,52.3,8,41840.0,408.54,189,0.4864,-0.4085,0.002716,-0.1199,1.1418,-1.135
223905714,2026-07-10T13:43:24.446581Z,TSLA,TSLA260814P00355000,355.0,2026-08-14,put,5.45,200,109000.0,408.54,35,0.4974,-0.1546,0.00378,-0.2054,0.3009,-0.0658
223904475,2026-07-10T13:43:17.520738Z,TSLA,TSLA260821C00410000,410.0,2026-08-21,call,26.0,10,26000.0,408.54,42,0.4652,0.5355,0.006164,-0.3287,0.5507,0.2218
223904230,2026-07-10T13:43:16.476683Z,TSLA,TSLA260713C00410000,410.0,2026-07-13,call,5.06,55,27830.0,408.54,3,0.3845,0.4704,0.027936,-0.9674,0.1474,0.0154
223902621,2026-07-10T13:43:09.534397Z,TSLA,TSLA260717C00405000,405.0,2026-07-17,call,12.38,40,49520.0,408.54,7,0.4594,0.5723,0.015095,-0.7558,0.222,0.0425
223902121,2026-07-10T13:43:08.589023Z,TSLA,TSLA260821C00400000,400.0,2026-08-21,call,31.32,10,31320.0,408.54,42,0.4709,0.5966,0.005933,-0.327,0.5366,0.2444
223901932,2026-07-10T13:43:08.322968Z,TSLA,TSLA270115C00590000,590.0,2027-01-15,call,15.4,19,29260.0,408.54,189,0.4974,0.2169,0.002008,-0.1226,0.8633,0.379
223901931,2026-07-10T13:43:08.321457Z,TSLA,TSLA260918C00420000,420.0,2026-09-18,call,29.6,11,32560.0,408.54,70,0.464,0.5032,0.004805,-0.2582,0.7137,0.3375
223901285,2026-07-10T13:43:07.348358Z,TSLA,TSLA260724C00410000,410.0,2026-07-24,call,16.73,30,50190.0,408.54,14,0.5356,0.5139,0.009304,-0.634,0.319,0.0741
223899657,2026-07-10T13:43:05.074323Z,TSLA,TSLA260821C00410000,410.0,2026-08-21,call,26.23,10,26230.0,408.54,42,0.4693,0.5357,0.006109,-0.3314,0.5506,0.2217
223898024,2026-07-10T13:43:02.806312Z,TSLA,TSLA260713C00407500,407.5,2026-07-13,call,6.05,51,30855.0,408.54,3,0.3683,0.5415,0.029087,-0.9286,0.147,0.0177
223896857,2026-07-10T13:43:01.335360Z,TSLA,TSLA260821C00410000,410.0,2026-08-21,call,25.7,10,25700.0,408.54,42,0.4597,0.5352,0.006238,-0.3252,0.5507,0.222
223896612,2026-07-10T13:43:01.016857Z,TSLA,TSLA270115C00360000,360.0,2027-01-15,call,85.25,3,25575.0,408.54,189,0.4795,0.728,0.002355,-0.1499,0.9757,1.0985
223895200,2026-07-10T13:42:57.925982Z,TSLA,TSLA260713P00400000,400.0,2026-07-13,put,2.68,251,67268.0,406.94,3,0.378,-0.2981,0.024861,-0.7905,0.1279,-0.0102
223895014,2026-07-10T13:42:56.438765Z,TSLA,TSLA260717P00400000,400.0,2026-07-17,put,6.8,100,68000.0,406.94,7,0.45,-0.3741,0.014942,-0.6667,0.2135,-0.0305
223895008,2026-07-10T13:42:56.414852Z,TSLA,TSLA260715C00425000,425.0,2026-07-15,call,2.88,100,28800.0,406.94,5,0.4717,0.2273,0.013426,-0.6887,0.1437,0.0123
223893621,2026-07-10T13:42:39.499079Z,TSLA,TSLA260821C00400000,400.0,2026-08-21,call,30.58,10,30580.0,406.94,42,0.4748,0.5869,0.005942,-0.3295,0.5376,0.2396
223892214,2026-07-10T13:42:23.399120Z,TSLA,TSLA260821C00410000,410.0,2026-08-21,call,25.62,10,25620.0,406.94,42,0.4737,0.5263,0.006088,-0.3331,0.5495,0.217
223891988,2026-07-10T13:42:22.381011Z,TSLA,TSLA270115C00330000,330.0,2027-01-15,call,104.68,15,157020.0,406.94,189,0.4997,0.796,0.001936,-0.1367,0.8296,1.1352
223890887,2026-07-10T13:42:17.487238Z,TSLA,TSLA260724P00410000,410.0,2026-07-24,put,18.28,20,36560.0,406.94,14,0.5358,-0.501,0.009342,-0.5811,0.3179,-0.0852
223889909,2026-07-10T13:42:13.520294Z,TSLA,TSLA260713C00410000,410.0,2026-07-13,call,4.55,200,91000.0,406.94,3,0.3988,0.429,0.026684,-0.9837,0.1448,0.014
223889734,2026-07-10T13:42:12.607890Z,TSLA,TSLA260807P00365000,365.0,2026-08-07,put,6.24,80,49920.0,406.94,28,0.4987,-0.189,0.004812,-0.2613,0.3049,-0.0638
