ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
SPY260702P00630000,SPY,630.0,2026-07-02,put,0.01,453,453.0,747.24,2,0.7439,-0.0009,7.2e-05,-0.0305,0.0016,-0.0,2026-06-30T18:58:46.110406Z,2026-06-30T18:59:01.308397Z
SPY260702C00635000,SPY,635.0,2026-07-02,call,117.35,2,23470.0,752.27,16,,,,,,,2026-06-16T17:29:07.379857Z,2026-06-16T17:29:25.237556Z
SPY260702P00635000,SPY,635.0,2026-07-02,put,0.01,25,26.0,747.32,2,0.7124,-0.0009,7.8e-05,-0.0304,0.0017,-0.0,2026-06-30T19:31:50.009758Z,2026-06-30T19:32:16.442787Z
SPY260702P00640000,SPY,640.0,2026-07-02,put,0.01,60,60.0,745.73,1,0.9501,-0.001,8.8e-05,-0.0603,0.0013,-0.0,2026-07-01T20:05:20.803976Z,2026-07-01T20:05:36.635843Z
SPY260702P00645000,SPY,645.0,2026-07-02,put,0.01,78,78.0,746.48,1,0.9111,-0.001,9.5e-05,-0.06,0.0013,-0.0,2026-07-01T19:50:49.825394Z,2026-07-01T19:51:17.298699Z
SPY260702C00650000,SPY,650.0,2026-07-02,call,99.26,5,48940.0,749.21,1,1.1555,0.9911,0.000529,-0.595,0.0094,0.0176,2026-07-01T15:32:47.366652Z,2026-07-01T15:33:07.524994Z
SPY260702P00650000,SPY,650.0,2026-07-02,put,0.01,9,9.0,746.52,1,0.8669,-0.001,0.000104,-0.0596,0.0014,-0.0,2026-07-01T19:43:00.706760Z,2026-07-01T19:43:06.527715Z
SPY260702C00651000,SPY,651.0,2026-07-02,call,98.35,2,19289.0,749.21,1,1.0861,0.9938,0.00041,-0.425,0.0068,0.0177,2026-07-01T15:32:47.015365Z,2026-07-01T15:33:07.524994Z
SPY260702P00651000,SPY,651.0,2026-07-02,put,0.03,6,17.0,740.62,3,0.5195,-0.0028,0.000248,-0.0502,0.0058,-0.0002,2026-06-29T19:32:52.786355Z,2026-06-29T19:33:15.919746Z
SPY260702C00652000,SPY,652.0,2026-07-02,call,97.23,8,76489.0,748.96,1,1.2055,0.9871,0.000702,-0.837,0.013,0.0176,2026-07-01T15:33:53.331532Z,2026-07-01T15:34:09.111261Z
SPY260702P00652000,SPY,652.0,2026-07-02,put,0.02,118,470.0,740.62,3,0.4942,-0.002,0.000194,-0.0355,0.0043,-0.0001,2026-06-29T18:08:44.261323Z,2026-06-29T18:08:48.306220Z
SPY260702C00653000,SPY,653.0,2026-07-02,call,96.32,8,75761.0,748.96,1,1.2548,0.983,0.000854,-1.0859,0.0165,0.0175,2026-07-01T15:33:51.066062Z,2026-07-01T15:34:09.111261Z
SPY260702P00653000,SPY,653.0,2026-07-02,put,0.02,106,306.0,740.92,3,0.4902,-0.0021,0.000197,-0.0355,0.0044,-0.0001,2026-06-29T20:11:09.179613Z,2026-06-29T20:11:28.878268Z
SPY260702C00654000,SPY,654.0,2026-07-02,call,93.04,6,54714.0,746.9,1,1.0328,0.9935,0.00045,-0.4203,0.0071,0.0178,2026-07-01T14:55:31.068959Z,2026-07-01T14:56:02.672504Z
