ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at,is_call,dealer_gex_volw
TSLA260702C00295000,TSLA,295.0,2026-07-02,call,127.85,1.0,12785.0,423.04,1,1.5605,0.9988,8.5e-05,-0.0855,0.0013,0.0161,2026-07-01T13:58:16.114509Z,2026-07-01T13:58:46.296640Z,True,-14.7500980165
TSLA260702P00295000,TSLA,295.0,2026-07-02,put,0.01,120.0,205.0,426.62,1,2.2524,-0.0007,4.9e-05,-0.062,0.0006,-0.0,2026-07-01T19:39:12.002331Z,2026-07-01T19:39:32.466522Z,False,-1020.359721612
TSLA260702C00300000,TSLA,300.0,2026-07-02,call,126.16,61.0,773386.0,425.95,1,2.8611,0.9922,0.000337,-0.7231,0.0048,0.0081,2026-07-01T19:07:17.279936Z,2026-07-01T19:07:20.778487Z,True,-3567.2678226493
TSLA260702P00300000,TSLA,300.0,2026-07-02,put,0.01,244.0,387.0,426.58,1,2.1559,-0.0007,5.3e-05,-0.0617,0.0006,-0.0,2026-07-01T19:40:28.773167Z,2026-07-01T19:40:33.429315Z,False,-2244.0972652868
TSLA260702C00305000,TSLA,305.0,2026-07-02,call,125.91,1.0,12591.0,430.77,1,2.6461,0.9948,0.000251,-0.4832,0.0034,0.0083,2026-07-01T15:42:55.070732Z,2026-07-01T15:43:20.951007Z,True,-43.55617178989999
TSLA260702P00305000,TSLA,305.0,2026-07-02,put,0.01,415.0,801.0,426.42,1,2.0593,-0.0008,5.8e-05,-0.0614,0.0006,-0.0,2026-07-01T19:37:18.136545Z,2026-07-01T19:37:30.450065Z,False,-4176.880697143
TSLA260702C00310000,TSLA,310.0,2026-07-02,call,111.7,1.0,11170.0,421.7,2,1.3517,0.9798,0.001008,-0.4316,0.0175,0.0248,2026-06-30T19:51:47.400319Z,2026-06-30T19:52:16.394567Z,True,-174.91880941920002
TSLA260702P00310000,TSLA,310.0,2026-07-02,put,0.01,692.0,3389.0,426.25,1,1.9638,-0.0008,6.4e-05,-0.061,0.0006,-0.0,2026-07-01T19:54:29.625122Z,2026-07-01T19:54:52.955531Z,False,-7685.3216582912
TSLA260702C00315000,TSLA,315.0,2026-07-02,call,87.94,3.0,24397.0,402.66,3,1.2044,0.9895,0.000635,-0.2427,0.0102,0.0255,2026-06-29T16:49:16.627743Z,2026-06-29T16:49:20.339717Z,True,-330.57572613450003
TSLA260702P00315000,TSLA,315.0,2026-07-02,put,0.02,119.0,302.0,426.7,1,1.9935,-0.0015,0.000111,-0.1104,0.0011,-0.0,2026-07-01T19:50:49.636016Z,2026-07-01T19:51:17.298699Z,False,-2292.1652317641
TSLA260702C00320000,TSLA,320.0,2026-07-02,call,108.04,1.0,10804.0,428.15,1,2.2988,0.9562,0.001292,-1.7003,0.0289,0.0164,2026-07-01T16:10:18.471853Z,2026-07-01T16:10:26.050497Z,True,-224.20148985080004
TSLA260702P00320000,TSLA,320.0,2026-07-02,put,0.02,72.0,193.0,425.28,1,1.8782,-0.0016,0.000125,-0.1095,0.0012,-0.0,2026-07-01T19:59:29.541581Z,2026-07-01T19:59:32.426594Z,False,-1561.7750841000002
TSLA260702C00322500,TSLA,322.5,2026-07-02,call,94.72,6.0,56814.0,416.63,2,1.8024,0.9766,0.000995,-0.8069,0.0171,0.0171,2026-06-30T16:07:15.567013Z,2026-06-30T16:07:38.817644Z,True,-1035.977472453
TSLA260702P00322500,TSLA,322.5,2026-07-02,put,0.03,271.0,2738.0,426.21,1,1.9156,-0.0023,0.000169,-0.1543,0.0016,-0.0,2026-07-01T19:14:52.255828Z,2026-07-01T19:14:59.891718Z,False,-7947.5263418551
TSLA260702C00325000,TSLA,325.0,2026-07-02,call,101.07,4.0,41267.0,425.93,1,2.1202,0.9937,0.000377,-0.4606,0.004,0.0088,2026-07-01T16:54:08.751292Z,2026-07-01T16:54:24.394508Z,True,-261.68409186919996
TSLA260702P00325000,TSLA,325.0,2026-07-02,put,0.04,484.0,1180.0,426.71,1,1.9286,-0.003,0.000212,-0.1962,0.002,-0.0,2026-07-01T19:52:19.127007Z,2026-07-01T19:52:19.309082Z,False,-17805.6242032592
TSLA260702C00327500,TSLA,327.5,2026-07-02,call,49.75,56.0,260810.0,376.64,6,0.6023,0.9685,0.002439,-0.2108,0.0343,0.0518,2026-06-26T14:21:47.567751Z,2026-06-26T14:22:08.848053Z,True,-23701.4986763016
TSLA260702P00327500,TSLA,327.5,2026-07-02,put,0.13,170.0,1864.0,426.25,1,2.1389,-0.008,0.000457,-0.5199,0.0049,-0.0001,2026-07-01T19:54:36.868036Z,2026-07-01T19:54:52.955531Z,False,-13481.589587080998
TSLA260702C00330000,TSLA,330.0,2026-07-02,call,95.14,31.0,295027.0,425.27,1,2.2019,0.9881,0.000633,-0.8006,0.0069,0.0089,2026-07-01T18:00:17.246983Z,2026-07-01T18:00:20.539198Z,True,-3405.1902750326994
