ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
TSLA260702P00360000,TSLA,360.0,2026-07-02,put,0.04,455,2416.0,426.01,1,1.2481,-0.0045,0.000473,-0.1831,0.0029,-0.0001,2026-07-01T19:55:23.458355Z,2026-07-01T19:55:23.686635Z
TSLA260702C00362500,TSLA,362.5,2026-07-02,call,63.17,4,25284.0,426.25,1,0.9633,0.9861,0.001175,-0.3111,0.0111,0.0195,2026-07-01T19:54:44.660474Z,2026-07-01T19:54:52.955531Z
TSLA260702P00362500,TSLA,362.5,2026-07-02,put,0.04,127,784.0,426.01,1,1.2018,-0.0047,0.000507,-0.1819,0.003,-0.0001,2026-07-01T19:56:00.431382Z,2026-07-01T19:56:25.042748Z
TSLA260702C00365000,TSLA,365.0,2026-07-02,call,60.63,105,654702.0,426.18,1,0.9397,0.9991,0.00014,-0.0757,0.0007,0.01,2026-07-01T19:01:16.152399Z,2026-07-01T19:01:42.434204Z
TSLA260702P00365000,TSLA,365.0,2026-07-02,put,0.05,853,5559.0,425.93,1,1.1839,-0.0058,0.000625,-0.2174,0.0037,-0.0001,2026-07-01T19:06:02.024364Z,2026-07-01T19:06:19.919828Z
TSLA260702C00367500,TSLA,367.5,2026-07-02,call,58.16,1,5816.0,426.86,1,0.7934,0.9928,0.0008,-0.1686,0.0062,0.02,2026-07-01T19:53:35.304602Z,2026-07-01T19:53:52.397522Z
TSLA260702P00367500,TSLA,367.5,2026-07-02,put,0.04,149,964.0,426.2,1,1.1129,-0.005,0.000583,-0.1795,0.0032,-0.0001,2026-07-01T19:43:04.710731Z,2026-07-01T19:43:06.527715Z
TSLA260702C00370000,TSLA,370.0,2026-07-02,call,56.67,184,1022336.0,426.71,1,1.1954,0.9888,0.001103,-0.4368,0.0066,0.01,2026-07-01T19:52:52.344704Z,2026-07-01T19:53:21.442286Z
TSLA260702P00370000,TSLA,370.0,2026-07-02,put,0.06,717,5539.0,426.25,1,1.1194,-0.0072,0.0008,-0.2492,0.0045,-0.0001,2026-07-01T19:54:36.430648Z,2026-07-01T19:54:52.955531Z
TSLA260702C00372500,TSLA,372.5,2026-07-02,call,53.16,23,119957.0,426.86,1,1.0953,0.9911,0.000986,-0.3394,0.0054,0.0101,2026-07-01T19:53:34.266689Z,2026-07-01T19:53:52.397522Z
TSLA260702P00372500,TSLA,372.5,2026-07-02,put,0.05,1948,14776.0,425.28,1,1.0334,-0.0066,0.000803,-0.2121,0.0041,-0.0001,2026-07-01T19:59:51.259347Z,2026-07-01T20:00:03.163208Z
TSLA260702C00375000,TSLA,375.0,2026-07-02,call,50.47,59,298803.0,425.63,1,1.231,0.9742,0.002196,-0.8652,0.0133,0.01,2026-07-01T18:59:37.371826Z,2026-07-01T18:59:37.934407Z
TSLA260702P00375000,TSLA,375.0,2026-07-02,put,0.06,996,8324.0,426.01,1,1.0208,-0.0078,0.000947,-0.2449,0.0048,-0.0001,2026-07-01T19:56:02.189923Z,2026-07-01T19:56:25.042748Z
TSLA260702C00377500,TSLA,377.5,2026-07-02,call,48.24,238,1258476.0,426.86,1,0.9358,0.9937,0.000856,-0.2326,0.004,0.0103,2026-07-01T19:53:36.301120Z,2026-07-01T19:53:52.397522Z
TSLA260702P00377500,TSLA,377.5,2026-07-02,put,0.07,361,2608.0,426.25,1,0.9966,-0.0092,0.001116,-0.2755,0.0055,-0.0001,2026-07-01T19:54:46.546712Z,2026-07-01T19:54:52.955531Z
TSLA260702C00380000,TSLA,380.0,2026-07-02,call,46.07,203,964167.0,426.01,1,0.7845,0.9975,0.000444,-0.1146,0.0017,0.0104,2026-07-01T19:56:09.107217Z,2026-07-01T19:56:25.042748Z
TSLA260702P00380000,TSLA,380.0,2026-07-02,put,0.08,936,9751.0,425.28,1,0.9489,-0.0109,0.00136,-0.3029,0.0064,-0.0001,2026-07-01T19:59:47.061199Z,2026-07-01T20:00:03.163208Z
TSLA260702C00382500,TSLA,382.5,2026-07-02,call,43.37,211,963974.0,426.12,1,0.9058,0.9896,0.001368,-0.326,0.0062,0.0104,2026-07-01T19:56:55.810700Z,2026-07-01T19:57:27.385180Z
TSLA260702P00382500,TSLA,382.5,2026-07-02,put,0.08,392,5238.0,425.2,1,0.8991,-0.0115,0.001499,-0.2995,0.0067,-0.0001,2026-07-01T19:59:26.231069Z,2026-07-01T19:59:32.426594Z
